method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	stream-major	event	barrier	off	512	128	0	3.714	0	23354	3.680	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	stream-major	stream	barrier	off	512	128	0	N/A	0	23837	3.605	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	stream-major	event	barrier	off	512	128	0	19.281	0	4597	18.694	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	stream-major	stream	barrier	off	512	128	0	N/A	0	4506	19.072	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	1	1	stream-major	event	barrier	off	512	128	0	6.665	0	12972	6.625	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	1	1	stream-major	stream	barrier	off	512	128	0	N/A	0	14117	6.088	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_stream_major_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	stream-major	event	barrier	off	512	128	0	23.467	0	3780	22.735	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	stream-major	stream	barrier	off	512	128	0	N/A	0	3711	23.158	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	round-robin	event	barrier	off	512	128	0	3.941	0	21970	3.912	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	round-robin	stream	barrier	off	512	128	0	N/A	0	25414	3.382	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	round-robin	event	barrier	off	512	128	0	19.320	0	4563	18.834	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	round-robin	stream	barrier	off	512	128	0	N/A	0	4494	19.123	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	1	1	round-robin	event	barrier	off	512	128	0	6.120	0	14137	6.079	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	1	1	round-robin	stream	barrier	off	512	128	0	N/A	0	13201	6.510	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	round-robin	event	barrier	off	512	128	0	23.455	0	3794	22.651	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	round-robin	stream	barrier	off	512	128	0	N/A	0	3715	23.133	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	4	stream-major	event	barrier	off	512	128	0	5.205	0	17479	4.917	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s4_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	4	stream-major	stream	barrier	off	512	128	0	N/A	0	17273	4.975	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s4_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	stream-major	event	barrier	off	512	128	0	34.948	0	2610	32.926	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	stream-major	stream	barrier	off	512	128	0	N/A	0	2470	34.793	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	1	4	stream-major	event	barrier	off	512	128	0	13.785	0	6647	12.929	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_stream_major_event.log
