matrix_index	method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log	submit_min_us	submit_max_us	submit_avg_us	submit_p50_us	submit_p90_us	copy_min_us	copy_max_us	copy_avg_us	copy_p50_us	copy_p90_us	start_skew_min_us	start_skew_max_us	start_skew_p50_us	start_skew_p90_us	group_wall_min_us	group_wall_max_us	group_wall_p50_us	group_wall_p90_us	log_dev_bw_gbps	log_wall_bw_gbps
1	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	stream-major	event	barrier	off	512	128	0	3.714	0	23354	3.68	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_stream_major_event.log	1951	3689	2892	2855	2973	13269	27745	23137	25805	27270	0	0	0	0	13363	29061	26025	27608	3.714	3.68
2	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	stream-major	stream	barrier	off	512	128	0		0	23837	3.605	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_stream_major_stream.log	1632	2043	1840	1863	1938						0	0	0	0	12731	30088	25699	29104		3.605
3	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	stream-major	event	barrier	off	512	128	0	19.281	0	4597	18.694	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_stream_major_event.log	1163	1434	1330	1329	1390	4428	4486	4457	4459	4477	0	0	0	0	4517	5623	4556	4586	19.281	18.694
4	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	stream-major	stream	barrier	off	512	128	0		0	4506	19.072	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_stream_major_stream.log	1149	1411	1338	1343	1384						0	0	0	0	4475	4950	4504	4520		19.072
5	ce	all	all_host_to_all_device_ce_multi_stream	1	1	stream-major	event	barrier	off	512	128	0	6.665	0	12972	6.625	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_stream_major_event.log	1463	2375	1699	1652	1835	7240	15698	12894	14127	14982	0	0	0	0	7303	15787	14186	15056	6.665	6.625
6	ce	all	all_host_to_all_device_ce_multi_stream	1	1	stream-major	stream	barrier	off	512	128	0		0	14117	6.088	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_stream_major_stream.log	1626	2568	1803	1805	1889						0	0	0	0	7239	16465	15097	15943		6.088
7	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	stream-major	event	barrier	off	512	128	0	23.467	0	3780	22.735	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_stream_major_event.log	1264	1483	1406	1404	1450	3640	3705	3662	3657	3688	0	0	0	0	3731	4270	3768	3807	23.467	22.735
8	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	stream-major	stream	barrier	off	512	128	0		0	3711	23.158	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_stream_major_stream.log	1277	1531	1397	1397	1428						0	0	0	0	3688	3765	3707	3741		23.158
9	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	round-robin	event	barrier	off	512	128	0	3.941	0	21970	3.912	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_round_robin_event.log	1526	2307	1728	1681	2044	12539	28532	21805	25640	27632	0	0	0	0	12631	28617	25929	27825	3.941	3.912
10	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	1	round-robin	stream	barrier	off	512	128	0		0	25414	3.382	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s1_round_robin_stream.log	1705	2050	1930	1957	2026						0	0	0	0	13151	29578	26942	28451		3.382
11	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	round-robin	event	barrier	off	512	128	0	19.32	0	4563	18.834	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_round_robin_event.log	1233	1594	1481	1493	1548	4421	4472	4448	4451	4463	0	0	0	0	4516	5661	4555	4580	19.32	18.834
12	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	1	round-robin	stream	barrier	off	512	128	0		0	4494	19.123	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s1_round_robin_stream.log	1199	1443	1298	1291	1362						0	0	0	0	4473	4530	4492	4510		19.123
13	ce	all	all_host_to_all_device_ce_multi_stream	1	1	round-robin	event	barrier	off	512	128	0	6.12	0	14137	6.079	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_round_robin_event.log	1584	2755	1930	1775	2498	7692	15951	14043	14306	15230	0	0	0	0	7822	16030	14384	15297	6.12	6.079
14	ce	all	all_host_to_all_device_ce_multi_stream	1	1	round-robin	stream	barrier	off	512	128	0		0	13201	6.51	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s1_round_robin_stream.log	1438	2720	1781	1699	2600						0	0	0	0	7402	15416	13253	14760		6.51
15	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	round-robin	event	barrier	off	512	128	0	23.455	0	3794	22.651	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_round_robin_event.log	1111	1248	1187	1187	1215	3647	3708	3664	3662	3676	0	0	0	0	3727	4938	3761	3794	23.455	22.651
16	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	1	round-robin	stream	barrier	off	512	128	0		0	3715	23.133	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s1_round_robin_stream.log	1258	1555	1427	1425	1511						0	0	0	0	3694	3759	3711	3737		23.133
17	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	4	stream-major	event	barrier	off	512	128	0	5.205	0	17479	4.917	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s4_stream_major_event.log	1648	2628	1917	1752	2369	6391	114238	16509	10826	15852	0	0	0	0	6577	114340	11708	17353	5.205	4.917
18	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	4	stream-major	stream	barrier	off	512	128	0		0	17273	4.975	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s4_stream_major_stream.log	1574	1882	1675	1673	1741						0	0	0	0	9323	110166	11393	13193		4.975
19	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	stream-major	event	barrier	off	512	128	0	34.948	0	2610	32.926	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_stream_major_event.log	1241	1562	1405	1407	1445	2383	2555	2459	2459	2486	0	0	0	0	2494	3744	2573	2697	34.948	32.926
20	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	stream-major	stream	barrier	off	512	128	0		0	2470	34.793	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_stream_major_stream.log	1112	1368	1286	1302	1342						0	0	0	0	2375	2524	2476	2503		34.793
21	ce	all	all_host_to_all_device_ce_multi_stream	1	4	stream-major	event	barrier	off	512	128	0	13.785	0	6647	12.929	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_stream_major_event.log	1662	1850	1723	1724	1771	3340	7497	6234	6422	7050	0	0	0	0	3672	8341	6821	7601	13.785	12.929
22	ce	all	all_host_to_all_device_ce_multi_stream	1	4	stream-major	stream	barrier	off	512	128	0		0	6500	13.221	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_stream_major_stream.log	1780	2808	2420	2416	2491						0	0	0	0	4006	7697	6512	7350		13.221
23	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	stream-major	event	barrier	off	512	128	0	36.962	0	2446	35.134	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_stream_major_event.log	1367	1799	1610	1613	1733	2222	2406	2325	2324	2384	0	0	0	0	2311	3491	2411	2493	36.962	35.134
24	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	stream-major	stream	barrier	off	512	128	0		0	2204	38.992	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_stream_major_stream.log	1027	1244	1130	1124	1206						0	0	0	0	2166	2242	2205	2227		38.992
25	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	4	round-robin	event	barrier	off	512	128	0	5.878	0	15665	5.486	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s4_round_robin_event.log	1620	7936	1918	1905	1966	10967	112306	14620	12097	13842	0	0	0	0	11584	112416	12824	16578	5.878	5.486
26	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	4	round-robin	stream	barrier	off	512	128	0		0	10855	7.917	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s4_round_robin_stream.log	1771	2387	2235	2224	2348						0	0	0	0	6268	106689	9594	12260		7.917
27	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	round-robin	event	barrier	off	512	128	0	45.446	0	2135	40.252	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_round_robin_event.log	1125	1860	1404	1315	1739	1859	1968	1891	1890	1912	0	0	0	0	1920	3342	2026	2733	45.446	40.252
28	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	round-robin	stream	barrier	off	512	128	0		0	1951	44.048	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_round_robin_stream.log	1207	1653	1415	1417	1496						0	0	0	0	1915	2043	1951	1969		44.048
29	ce	all	all_host_to_all_device_ce_multi_stream	1	4	round-robin	event	barrier	off	512	128	0	12.819	0	8174	10.514	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_round_robin_event.log	2032	2566	2412	2416	2485	5843	7260	6704	6733	6985	0	0	0	0	7140	9791	8111	8776	12.819	10.514
30	ce	all	all_host_to_all_device_ce_multi_stream	1	4	round-robin	stream	barrier	off	512	128	0		0	7273	11.816	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_round_robin_stream.log	1446	1856	1560	1560	1594						0	0	0	0	5983	8115	7308	7789		11.816
31	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	round-robin	event	barrier	off	512	128	0	36.461	0	2625	32.738	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_round_robin_event.log	2079	2510	2323	2324	2440	2124	2548	2357	2360	2474	0	0	0	0	2236	4159	2525	3232	36.461	32.738
32	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	round-robin	stream	barrier	off	512	128	0		0	1896	45.326	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_round_robin_stream.log	1355	2259	1690	1650	1938						0	0	0	0	1816	2301	1857	2079		45.326
